"fbctn_yr","stdg_cd","lclsf_cd","stdg_nm","lclsf_nm","sqmt1_gpp","sqmt1_npp","biotop_whol_gpp","biotop_whol_npp","biotop_area","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41461101  ",A,김량장동,자연산림,1.9978868383,1.0765439948,302822.5287253200,163173.2931667640,151571.411813029,system,2025-07-20 01:53:12.339,system,2025-07-20 01:53:12.339
"2025","41461101  ",B,김량장동,식재산림,2.0287834341,0.9738160482,1012020.9971558900,485770.0785265580,498831.457378693,system,2025-07-20 01:53:12.339,system,2025-07-20 01:53:12.339
"2025","41461101  ",D,김량장동,호소,0.0000000000,0.0000000000,0.0000000000,0.0000000000,143.801039224,system,2025-07-20 01:53:12.339,system,2025-07-20 01:53:12.339
"2025","41461101  ",E,김량장동,하천습지,0.2681833836,0.1195935558,26139.2647525986,11656.5298588086,97467.875890918,system,2025-07-20 01:53:12.339,system,2025-07-20 01:53:12.339
"2025","41461101  ",G,김량장동,농업지역,1.5997308781,1.0934952125,86230.6558401335,58942.9200982286,53903.226485833,system,2025-07-20 01:53:12.339,system,2025-07-20 01:53:12.339
"2025","41461101  ",H,김량장동,조성녹지,1.1303759878,0.5121945712,136147.7000873700,61691.0776735950,120444.614494681,system,2025-07-20 01:53:12.339,system,2025-07-20 01:53:12.339
"2025","41461101  ",I,김량장동,시가화건조지,0.0260922364,0.0125242735,33130.5658883558,15902.6716090300,1269748.034240930,system,2025-07-20 01:53:12.339,system,2025-07-20 01:53:12.339
"2025","41461102  ",A,역북동,자연산림,1.8881086643,1.0128743781,1347022.8993493500,722609.3536250700,713424.457423358,system,2025-07-20 01:53:13.592,system,2025-07-20 01:53:13.592
"2025","41461102  ",B,역북동,식재산림,1.8760870964,0.9004860973,1662873.8124455500,798147.7793011840,886352.139863709,system,2025-07-20 01:53:13.592,system,2025-07-20 01:53:13.592
"2025","41461102  ",C,역북동,산지습지,1.6274157084,0.8914202816,20162.8757472643,11044.2564138000,12389.505424444,system,2025-07-20 01:53:13.592,system,2025-07-20 01:53:13.592
"2025","41461102  ",D,역북동,호소,0.0000000000,0.0000000000,0.0000000000,0.0000000000,20755.169489380,system,2025-07-20 01:53:13.592,system,2025-07-20 01:53:13.592
"2025","41461102  ",E,역북동,하천습지,0.1160042427,0.0507262996,8630.9280199750,3774.1295498313,74401.830644011,system,2025-07-20 01:53:13.592,system,2025-07-20 01:53:13.592
"2025","41461102  ",G,역북동,농업지역,1.1038564442,0.7434142305,495963.8511409310,334016.7887728460,449301.042504663,system,2025-07-20 01:53:13.592,system,2025-07-20 01:53:13.592
"2025","41461102  ",H,역북동,조성녹지,1.0001262729,0.4359717035,431784.4402557580,188222.0306289310,431729.924447111,system,2025-07-20 01:53:13.592,system,2025-07-20 01:53:13.592
"2025","41273109  ",A,선부동,자연산림,2.2096968479,1.1860809206,1673645.0052358000,898348.7533609940,757409.328275309,system,2025-07-20 01:48:12.519,system,2025-07-20 01:48:12.519
"2025","41273109  ",B,선부동,식재산림,2.2468808376,1.0785028020,1792970.4783414500,860625.8295687850,797982.006130618,system,2025-07-20 01:48:12.519,system,2025-07-20 01:48:12.519
"2025","41273109  ",D,선부동,호소,0.0000000000,0.0000000000,0.0000000000,0.0000000000,531.645180918,system,2025-07-20 01:48:12.519,system,2025-07-20 01:48:12.519
"2025","41273109  ",E,선부동,하천습지,0.4572736563,0.2432563839,2309.2542987311,1228.4566199188,5050.048843014,system,2025-07-20 01:48:12.519,system,2025-07-20 01:48:12.519
"2025","41273109  ",G,선부동,농업지역,1.3074217172,0.8075266001,636835.7959466740,393340.4488704390,487092.869556329,system,2025-07-20 01:48:12.519,system,2025-07-20 01:48:12.519
