"fbctn_yr","stdg_cd","stdg_nm","lclsf_cd","lclsf_nm","biotop_area","soil_cbn_strgat","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41360340  ",수동면,A,자연산림,31983638.986679600,397895259.0549920000,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,B,식재산림,23007163.694775400,276608133.2645220000,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,C,산지습지,181028.592743969,2134634.5294134400,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,D,호소,47818.189648301,560265.4100973800,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,E,하천습지,1302153.844406760,14663633.7260207000,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,ETC,기타,571.714480473,7018.8516843200,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,G,농업지역,5665874.027775590,65572524.6599059000,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,H,조성녹지,1121866.545059940,13079311.3509140000,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41360340  ",수동면,I,시가화건조지,9594579.906878530,109172881.8509370000,system,2025-07-19 18:11:26.220,system,2025-07-19 18:11:26.220
"2025","41271108  ",성포동,A,자연산림,124828.295524050,1241651.6635006600,system,2025-07-19 18:11:43.872,system,2025-07-19 18:11:43.872
"2025","41271108  ",성포동,B,식재산림,342818.187559678,3407024.1759765700,system,2025-07-19 18:11:43.872,system,2025-07-19 18:11:43.872
"2025","41271108  ",성포동,E,하천습지,33147.767619940,343503.8207028940,system,2025-07-19 18:11:43.872,system,2025-07-19 18:11:43.872
"2025","41271108  ",성포동,H,조성녹지,367292.795688383,3643544.5598210200,system,2025-07-19 18:11:43.872,system,2025-07-19 18:11:43.872
"2025","41271108  ",성포동,I,시가화건조지,836205.270104708,7857390.8418503000,system,2025-07-19 18:11:43.872,system,2025-07-19 18:11:43.872
"2025","41360360  ",조안면,A,자연산림,23314280.075630000,283189958.7034140000,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,B,식재산림,10024647.868454600,109943231.7013900000,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,C,산지습지,311120.321500453,3663925.4838510200,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,D,호소,537091.354706698,4431293.3506201900,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,E,하천습지,7356782.061286520,67043471.5748293000,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,ETC,기타,736.549271406,5854.5361051300,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,G,농업지역,4137001.044335160,34009611.3824550000,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,H,조성녹지,1611856.499219670,13818092.2754571000,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41360360  ",조안면,I,시가화건조지,3688893.771651250,31380168.7190852000,system,2025-07-19 18:11:44.151,system,2025-07-19 18:11:44.151
"2025","41370101  ",오산동,A,자연산림,1202.265035385,12935.8453693714,system,2025-07-19 18:11:55.289,system,2025-07-19 18:11:55.289
"2025","41370101  ",오산동,B,식재산림,5312.759933223,57159.0506248728,system,2025-07-19 18:11:55.289,system,2025-07-19 18:11:55.289
"2025","41370101  ",오산동,D,호소,987.566167159,10173.5770348200,system,2025-07-19 18:11:55.289,system,2025-07-19 18:11:55.289
"2025","41370101  ",오산동,E,하천습지,125183.987605754,1362576.7165620500,system,2025-07-19 18:11:55.289,system,2025-07-19 18:11:55.289
"2025","41370101  ",오산동,ETC,기타,67038.508545813,775120.1120887760,system,2025-07-19 18:11:55.289,system,2025-07-19 18:11:55.289
