"fbctn_yr","stdg_cd","lclsf_cd","stdg_nm","lclsf_nm","biotop_area","cbn_strgat","frst_rgtr_id","frst_reg_dt","mdfr_id","mdfcn_dt"
"2025","41410105  ",A,금정동,자연산림,172959.558488311,5789724.5779855300,system,2025-07-22 16:02:35.881,system,2025-07-22 16:02:35.881
"2025","41410105  ",B,금정동,식재산림,128418.324550346,3346354.6013538800,system,2025-07-22 16:02:35.881,system,2025-07-22 16:02:35.881
"2025","41410105  ",E,금정동,하천습지,56395.720037959,64434.9801615398,system,2025-07-22 16:02:35.881,system,2025-07-22 16:02:35.881
"2025","41410105  ",G,금정동,농업지역,5142.153175486,,system,2025-07-22 16:02:35.881,system,2025-07-22 16:02:35.881
"2025","41410105  ",H,금정동,조성녹지,281527.763588973,3952304.8709353000,system,2025-07-22 16:02:35.881,system,2025-07-22 16:02:35.881
"2025","41410105  ",I,금정동,시가화건조지,1910099.343807090,2683015.5304480000,system,2025-07-22 16:02:35.881,system,2025-07-22 16:02:35.881
"2025","41410106  ",A,둔대동,자연산림,1866638.950057590,63479014.6733876000,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410106  ",B,둔대동,식재산림,854888.151480522,17595252.9000216000,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410106  ",C,둔대동,산지습지,11723.149550436,454312.6129044400,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410106  ",D,둔대동,호소,363782.082303810,16308.9521687300,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410106  ",E,둔대동,하천습지,73427.636968675,464277.6603984080,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410106  ",G,둔대동,농업지역,539541.831652839,1333980.8601717300,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410106  ",H,둔대동,조성녹지,346153.496285542,2144413.0568704300,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410106  ",I,둔대동,시가화건조지,779298.069233543,195667.3502489910,system,2025-07-22 16:02:37.309,system,2025-07-22 16:02:37.309
"2025","41410107  ",A,속달동,자연산림,3012232.917524870,95075348.4231185000,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410107  ",B,속달동,식재산림,1531449.401420670,57947153.0928029000,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410107  ",C,속달동,산지습지,19964.807584023,1473503.7201171000,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410107  ",D,속달동,호소,96674.997334981,109735.4913376400,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410107  ",E,속달동,하천습지,52434.847368725,23559.5936125839,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410107  ",G,속달동,농업지역,544902.443987769,1113234.5453652200,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410107  ",H,속달동,조성녹지,183240.089207721,570498.1664634600,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410107  ",I,속달동,시가화건조지,448351.387110975,187068.0292571310,system,2025-07-22 16:02:38.719,system,2025-07-22 16:02:38.719
"2025","41410108  ",A,대야미동,자연산림,283970.102055249,7272984.1050165100,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",B,대야미동,식재산림,395989.537735120,7941949.3200565300,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",C,대야미동,산지습지,599.034626529,5990.3462652900,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",D,대야미동,호소,1631.100699167,19250.9974309200,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",E,대야미동,하천습지,17207.776788637,,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",ETC,대야미동,기타,8606.502171161,77458.5195404500,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",G,대야미동,농업지역,822577.028421302,846079.9674019350,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",H,대야미동,조성녹지,402132.274917285,3291128.1725898800,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410108  ",I,대야미동,시가화건조지,794764.030048424,213164.7186405590,system,2025-07-22 16:02:40.113,system,2025-07-22 16:02:40.113
"2025","41410109  ",A,도마교동,자연산림,219016.994796589,5841827.7967037400,system,2025-07-22 16:02:41.117,system,2025-07-22 16:02:41.117
"2025","41410109  ",B,도마교동,식재산림,174024.880248043,4792093.5017977000,system,2025-07-22 16:02:41.117,system,2025-07-22 16:02:41.117
"2025","41410109  ",D,도마교동,호소,7157.882507586,,system,2025-07-22 16:02:41.117,system,2025-07-22 16:02:41.117
"2025","41410109  ",E,도마교동,하천습지,29856.148764532,,system,2025-07-22 16:02:41.117,system,2025-07-22 16:02:41.117
"2025","41410109  ",G,도마교동,농업지역,756977.756398241,808156.6419010050,system,2025-07-22 16:02:41.117,system,2025-07-22 16:02:41.117
"2025","41410109  ",H,도마교동,조성녹지,280000.893742715,854683.3422745890,system,2025-07-22 16:02:41.117,system,2025-07-22 16:02:41.117
"2025","41410109  ",I,도마교동,시가화건조지,533229.149012667,84628.3315522000,system,2025-07-22 16:02:41.117,system,2025-07-22 16:02:41.117
